dtm_name,image_id1,image_id2,url
DTEEC_013578_1505_030984_1505_U01,ESP_013578_1505,ESP_030984_1505,https://www.uahirise.org/PDS/DTM/ESP/ORB_013500_013599/ESP_013578_1505_ESP_030984_1505/
DTEED_013582_1895_020940_1895_A01,ESP_013582_1895,ESP_020940_1895,https://www.uahirise.org/PDS/DTM/ESP/ORB_013500_013599/ESP_013582_1895_ESP_020940_1895/
DTEEC_013611_1325_013110_1325_A01,ESP_013611_1325,ESP_013110_1325,https://www.uahirise.org/PDS/DTM/ESP/ORB_013600_013699/ESP_013611_1325_ESP_013110_1325/
DTEPC_013619_0990_013672_0990_A01,ESP_013619_0990,ESP_013672_0990,https://www.uahirise.org/PDS/DTM/ESP/ORB_013600_013699/ESP_013619_0990_ESP_013672_0990/
DTEEC_013639_1415_013850_1415_A01,ESP_013639_1415,ESP_013850_1415,https://www.uahirise.org/PDS/DTM/ESP/ORB_013600_013699/ESP_013639_1415_ESP_013850_1415/
DTEPC_013647_0975_013832_0975_A01,ESP_013647_0975,ESP_013832_0975,https://www.uahirise.org/PDS/DTM/ESP/ORB_013600_013699/ESP_013647_0975_ESP_013832_0975/
DTEEC_013688_1540_012620_1540_A01,ESP_013688_1540,ESP_012620_1540,https://www.uahirise.org/PDS/DTM/ESP/ORB_013600_013699/ESP_013688_1540_ESP_012620_1540/
DTEEC_013745_1730_013033_1730_A01,ESP_013745_1730,ESP_013033_1730,https://www.uahirise.org/PDS/DTM/ESP/ORB_013700_013799/ESP_013745_1730_ESP_013033_1730/
DTEEC_013766_1845_005934_1845_A01,PSP_013766_1845,ESP_005934_1845,https://www.uahirise.org/PDS/DTM/ESP/ORB_013700_013799/ESP_013766_1845_PSP_005934_1845/
DTEEC_013815_1435_013670_1435_G01,ESP_013815_1435,ESP_013670_1435,https://www.uahirise.org/PDS/DTM/ESP/ORB_013800_013899/ESP_013815_1435_ESP_013670_1435/
DTEEC_013835_1330_013189_1330_A01,ESP_013835_1330,ESP_013189_1330,https://www.uahirise.org/PDS/DTM/ESP/ORB_013800_013899/ESP_013835_1330_ESP_013189_1330/
DTEEC_013894_1410_013749_1410_G01,ESP_013894_1410,ESP_013749_1410,https://www.uahirise.org/PDS/DTM/ESP/ORB_013800_013899/ESP_013894_1410_ESP_013749_1410/
DTEEC_013948_1410_013236_1410_A01,ESP_013948_1410,ESP_013236_1410,https://www.uahirise.org/PDS/DTM/ESP/ORB_013900_013999/ESP_013948_1410_ESP_013236_1410/
DTEPC_013968_1020_013955_1020_A01,ESP_013968_1020,ESP_013955_1020,https://www.uahirise.org/PDS/DTM/ESP/ORB_013900_013999/ESP_013968_1020_ESP_013955_1020/
DTEPC_013990_0930_014123_0930_A01,ESP_013990_0930,ESP_014123_0930,https://www.uahirise.org/PDS/DTM/ESP/ORB_013900_013999/ESP_013990_0930_ESP_014123_0930/
DTEEC_014011_1315_014288_1315_A01,ESP_014011_1315,ESP_014288_1315,https://www.uahirise.org/PDS/DTM/ESP/ORB_014000_014099/ESP_014011_1315_ESP_014288_1315/
